zcta,lat,lon,population,travel_time_to_ldct_min,need_score
84078,40.465526,-109.510856,30669,325.9783333333333,9997429.504999999
84321,41.774813,-111.712761,49811,145.035,7224338.385
84532,38.517666,-109.385155,10648,598.1733333333334,6369349.653333334
84501,39.530532,-110.810886,13002,400.5916666666667,5208492.850000001
84660,40.040637,-111.419114,47004,105.72833333333335,4969654.580000001
84045,40.292383,-111.928756,43369,112.51666666666667,4879735.316666666
84066,40.346286,-110.067282,14626,265.15,3878083.8999999994
84404,41.269519,-112.117658,65875,54.885000000000005,3615549.3750000005
84096,40.487037,-112.099983,71115,47.06666666666666,3347145.9999999995
84341,41.770678,-111.812392,25791,129.39,3337097.4899999998
84721,37.768677,-113.133595,29635,108.83833333333334,3225424.0083333333
84062,40.383842,-111.681871,47489,65.50833333333334,3110925.241666667
84511,37.527347,-109.411511,4248,698.5533333333333,2967454.5599999996
84005,40.322736,-111.999426,49116,59.596666666666664,2927149.88
84043,40.411552,-111.87428,81839,35.72333333333333,2923561.8766666665
84701,38.590731,-111.800446,8756,327.50500000000005,2867633.7800000003
84302,41.584713,-112.051612,26711,98.28666666666666,2625335.1533333333
84074,40.582074,-112.303592,57470,45.053333333333335,2589215.066666667
84003,40.471654,-111.68059,55259,46.07,2545782.13
84720,37.593409,-113.292337,24323,104.16,2533483.6799999997
84335,41.823969,-111.883495,16278,142.48499999999999,2319370.8299999996
84651,39.957762,-111.693744,29502,78.305,2310154.1100000003
84029,40.572887,-112.953253,14159,157.35833333333335,2228036.641666667
84737,37.029351,-113.246397,23477,88.15333333333334,2069575.8066666666
84337,41.690849,-112.282644,15452,126.67833333333333,1957433.6066666667
84015,41.120356,-112.060775,70730,26.876666666666665,1900986.6333333333
84032,40.369309,-111.187015,25328,74.195,1879210.9599999997
84526,39.681544,-110.96517,4267,434.3283333333334,1853278.9983333335
84319,41.593349,-111.660033,10490,171.78333333333333,1802007.1666666667
84534,37.215644,-109.266301,2410,737.3666666666667,1777053.6666666667
84401,41.218748,-112.032586,46784,37.595,1758844.48
84535,37.849881,-109.296406,2669,642.0016666666667,1713502.4483333332
84663,40.192659,-111.489219,35889,47.615,1708854.735
84741,37.188452,-112.249236,6145,253.36,1556897.2000000002
84414,41.327146,-111.965471,33288,44.586666666666666,1484200.96
84067,41.171885,-112.048033,38795,36.986666666666665,1434897.7333333332
84065,40.493936,-111.943725,50284,28.031666666666666,1409544.3266666667
84009,40.553454,-112.018129,42091,31.813333333333333,1339055.0133333332
84020,40.497673,-111.866118,50159,26.501666666666665,1329297.0983333332
84036,40.699219,-111.020425,8781,135.73166666666668,1191859.7650000001
84754,38.610772,-112.117106,4252,277.49333333333334,1179901.6533333333
84081,40.602762,-112.038247,52168,22.41166666666667,1169171.826666667
84116,40.867238,-112.025095,37136,31.173333333333332,1157652.9066666665
84655,39.971313,-111.80682,17157,67.37166666666667,1155895.685
84528,39.402323,-111.075783,2955,385.29833333333335,1138556.575
84536,37.130407,-110.218555,1391,799.3083333333334,1111837.8916666668
84624,39.382623,-112.59373,5956,180.855,1077172.38
84405,41.149885,-111.956861,34931,28.83,1007060.73
84627,39.355361,-111.585664,6151,161.61333333333334,994083.6133333334
84332,41.70314,-111.81202,8680,113.485,985049.8
84108,40.80904,-111.727516,21951,43.905,963758.655
84647,39.527088,-111.40656,4578,209.58166666666665,959464.8699999999
84765,37.337765,-114.017951,7891,118.785,937332.4349999999
84014,40.936646,-111.833312,16571,56.495,936178.6449999999
84103,40.803408,-111.847108,23796,39.3,935182.7999999999
84770,37.13839,-113.629601,47226,19.005,897530.13
84095,40.558566,-111.941674,38240,23.418333333333337,895517.0666666668
84075,41.056525,-112.069852,34118,25.71,877173.78
84713,38.332558,-112.516895,4381,199.03333333333333,871965.0333333333
84606,40.214921,-111.626174,35931,23.226666666666667,834557.36
84601,40.227242,-111.69581,32871,24.584999999999997,808133.5349999999
84121,40.616981,-111.686812,39204,20.345000000000002,797605.3800000001
84631,38.997719,-112.396775,3072,253.80499999999998,779688.96
84041,41.069929,-111.981255,54750,14.231666666666666,779183.7499999999
84088,40.59507,-111.960812,38915,19.188333333333333,746713.9916666666
84318,41.801665,-111.804226,5468,135.97666666666666,743520.4133333333
84648,39.686596,-111.868172,7289,101.405,739141.045
84092,40.551993,-111.7148,28162,25.33166666666667,713390.3966666667
84084,40.621392,-111.966054,31389,22.601666666666667,709443.715
84634,39.17805,-111.834167,3690,186.71333333333337,688972.2000000001
84044,40.736085,-112.121213,29488,23.248333333333335,685546.8533333334
84021,40.108226,-110.533757,3127,217.93666666666667,681487.9566666667
84098,40.746854,-111.532877,20311,33.215,674629.8650000001
84780,37.133167,-113.473684,30709,21.603333333333335,663416.7633333334
84312,41.7773,-112.156094,5070,128.59333333333333,651968.2
84642,39.256568,-111.552177,3424,185.80333333333334,636190.6133333334
84118,40.656001,-112.038127,41969,15.061666666666667,632123.0883333334
84058,40.274761,-111.714706,34706,17.903333333333332,621353.0866666667
84512,37.169691,-109.565719,799,728.6483333333333,582190.0183333333
84339,41.625291,-111.938952,5992,95.86333333333333,574413.0933333333
84654,38.864166,-111.678983,2551,223.69500000000002,570645.9450000001
84653,40.047985,-111.668488,11531,48.75,562136.25
84004,40.488843,-111.727776,10272,54.50833333333334,559909.6000000001
84542,39.742906,-110.48845,1526,350.65166666666664,535094.4433333332
84037,41.02248,-111.948762,39316,13.138333333333332,516546.71333333326
84049,40.504123,-111.513399,6926,74.52,516125.51999999996
84629,39.765512,-111.452879,3243,157.76666666666665,511637.29999999993
84050,41.024099,-111.664031,12247,41.68333333333333,510495.78333333327
84513,39.258422,-111.008306,1463,346.9116666666667,507531.76833333337
84040,41.091695,-111.897185,28269,17.91,506297.79
84531,37.059844,-109.832962,640,782.815,501001.60000000003
84054,40.838644,-111.91785,22201,22.466666666666665,498782.4666666666
84523,39.058485,-111.220112,1569,316.0466666666667,495877.22000000003
84017,40.956239,-111.214298,4420,109.285,483039.7
84094,40.571647,-111.861939,28277,16.913333333333334,478258.32666666666
84060,40.644391,-111.506642,8575,55.16666666666667,473054.1666666667
84057,40.314256,-111.709495,37620,12.51,470626.2
84333,41.910272,-111.7985,3095,151.60333333333332,469212.31666666665
84320,41.952943,-111.852109,2773,161.7783333333333,448611.31833333324
84664,40.126231,-111.577176,12340,35.846666666666664,442347.86666666664
84759,37.926071,-112.390081,2209,196.17499999999998,433350.57499999995
84760,37.949582,-112.661783,1023,421.36833333333334,431059.805
84070,40.577114,-111.889106,30348,14.201666666666668,430992.18000000005
84520,39.530686,-110.418374,991,425.9,422066.89999999997
84525,39.073151,-110.22313,871,481.91833333333335,419750.86833333335
84109,40.705812,-111.704544,25879,16.153333333333332,418032.1133333333
84128,40.7052,-112.04257,32072,12.863333333333333,412552.82666666666
84537,39.299637,-111.173357,1281,319.025,408671.02499999997
84315,41.167508,-112.137773,9694,41.99166666666667,407067.2166666667
84340,41.402988,-112.178864,3386,116.50833333333334,394497.2166666667
84129,40.653577,-111.962063,38128,10.075,384139.6
84761,37.852329,-112.866017,3127,119.54666666666665,373822.42666666664
84120,40.69686,-112.001744,50589,7.358333333333333,372250.725
84102,40.75989,-111.863618,19145,19.358333333333334,370615.2916666667
84738,37.216322,-113.698554,9607,36.830000000000005,353825.81000000006
84123,40.658368,-111.921749,36913,9.296666666666665,343167.85666666663
84052,40.166509,-109.997739,1183,288.1733333333333,340909.0533333333
84059,40.303539,-111.748581,16419,20.66166666666667,339243.905
84724,38.674153,-112.150144,1207,269.62,325431.34
84751,38.37009,-112.920624,1776,179.18,318223.68
84105,40.738346,-111.859829,22963,13.416666666666666,308086.9166666666
84047,40.615317,-111.891815,36573,8.275,302641.575
84087,40.889116,-111.92823,17028,16.398333333333333,279230.82
84115,40.714767,-111.892689,28411,9.74,276723.14
84046,40.952558,-109.796276,651,421.71333333333337,274535.38
84104,40.749441,-111.981537,24057,11.073333333333332,266391.18
84307,41.480119,-112.537206,1377,193.37833333333333,266281.96499999997
84106,40.706768,-111.855726,33791,7.825,264414.575
84325,41.737236,-111.997879,2311,113.60333333333332,262537.3033333333
84662,39.439773,-111.485741,1544,168.76000000000002,260565.44000000003
84622,39.098174,-111.813528,1312,196.4366666666667,257724.9066666667
84726,37.753358,-111.580362,792,321.86,254913.12000000002
84083,40.817789,-113.739568,1264,195.75,247428.0
84747,38.446277,-111.637732,765,315.07000000000005,241028.55000000005
84645,39.860513,-111.840052,2982,80.21,239186.21999999997
84111,40.755812,-111.884261,12446,18.863333333333333,234773.04666666666
84518,39.388873,-110.876886,623,374.22333333333336,233141.1366666667
84326,41.672326,-111.817761,2041,113.41333333333333,231476.6133333333
84093,40.594711,-111.828542,23998,9.645000000000001,231460.71000000002
84521,39.417033,-110.762446,591,390.8,230962.80000000002
84646,39.541055,-111.608795,1654,139.11166666666668,230090.69666666668
84620,38.922437,-111.924302,1061,216.2416666666667,229432.40833333338
84042,40.341125,-111.724706,11570,19.39,224342.30000000002
84711,38.725549,-112.048812,849,257.62,218719.38
84328,41.539368,-111.844414,1768,121.03166666666667,213983.98666666666
84539,39.5761,-110.400681,485,440.5133333333333,213648.96666666667
84097,40.304692,-111.673174,22024,9.486666666666668,208934.3466666667
84064,41.682918,-111.112032,890,232.15499999999997,206617.94999999998
84745,37.208408,-113.262655,4429,46.406666666666666,205535.12666666668
84716,37.944418,-111.44226,544,367.00666666666666,199651.62666666665
84632,39.64495,-111.646511,1558,127.74833333333333,199031.90333333335
84637,38.721755,-112.487146,674,294.10333333333335,198225.64666666667
84053,40.434984,-109.986655,693,276.51166666666666,191622.585
84026,40.294056,-109.845098,645,294.84666666666664,190176.09999999998
84071,40.353814,-112.267902,2339,81.08666666666667,189661.71333333335
84775,38.289608,-111.03342,473,389.49166666666673,184229.55833333338
84730,38.736397,-112.019284,744,246.00000000000003,183024.00000000003
84635,39.39071,-112.721528,897,201.30833333333334,180573.575
84035,40.408831,-109.292489,515,349.35166666666663,179916.1083333333
84039,40.440132,-109.812742,585,304.7883333333333,178301.175
84652,39.017239,-111.875876,838,209.14833333333337,175266.30333333337
84310,41.335387,-111.846823,5002,33.20333333333333,166083.07333333333
84530,38.244079,-109.404321,276,593.25,163737.0
84739,38.641996,-112.222964,596,273.43333333333334,162966.26666666666
84752,38.251007,-112.88724,979,161.06166666666667,157679.37166666667
84055,40.745066,-111.149113,1805,87.23166666666667,157453.15833333333
84101,40.756311,-111.899962,8329,18.465,153794.985
84750,38.438672,-112.192102,560,274.1683333333333,153534.26666666663
84001,40.345248,-110.273487,661,229.21999999999997,151514.41999999998
84056,41.129126,-111.99193,3644,41.06333333333333,149634.78666666665
84522,38.86031,-111.223206,521,283.305,147601.905
84715,38.332217,-111.603131,439,335.9666666666667,147489.36666666667
84038,41.892017,-111.263545,589,249.29666666666665,146835.73666666666
84773,38.25075,-111.470479,406,353.2566666666667,143422.2066666667
84076,40.447153,-109.840165,477,300.29833333333335,143242.305
84327,41.865561,-111.997136,1026,139.46666666666664,143092.79999999996
84649,39.346577,-112.330014,770,182.51999999999998,140540.4
84776,37.62961,-112.08248,537,260.3883333333333,139828.535
84028,41.937391,-111.389504,667,205.5233333333333,137084.06333333332
84657,38.818586,-111.938937,596,229.16000000000003,136579.36000000002
84758,37.326515,-112.780576,837,161.74666666666667,135381.96
84725,37.540352,-113.780206,1665,77.22833333333332,128585.17499999999
84324,41.494331,-111.941164,1642,77.54666666666667,127331.62666666666
84311,41.820132,-112.110569,902,136.07833333333332,122742.65666666665
84714,37.838191,-113.765957,1078,112.30166666666666,121061.19666666666
84639,39.507173,-111.900107,886,136.33666666666667,120794.28666666667
84643,39.128724,-111.684878,583,203.47500000000002,118625.92500000002
84314,41.649382,-112.092944,1011,112.235,113469.585
84784,37.01867,-112.969318,1301,86.32,112302.31999999999
84757,37.46457,-113.269305,1388,79.3,110068.4
84665,39.192121,-111.616247,572,192.2266666666667,109953.65333333335
84007,40.345116,-110.203186,452,241.54833333333332,109179.84666666666
84723,38.175495,-112.249497,431,248.33999999999997,107034.54
84336,41.877442,-112.858319,520,204.30666666666667,106239.46666666667
84051,40.389463,-110.427015,452,229.77499999999998,103858.29999999999
84628,39.935745,-112.1343,991,104.70833333333334,103765.95833333334
84636,39.139593,-112.338879,452,222.98166666666665,100787.71333333333
84027,40.15519,-110.777931,664,150.76833333333332,100110.17333333332
84729,37.382639,-112.66015,488,204.61666666666667,99852.93333333333
84630,39.310615,-111.834217,570,174.41500000000002,99416.55000000002
84764,37.785331,-111.932454,304,323.61333333333334,98378.45333333334
84656,39.235172,-112.108787,435,220.83999999999997,96065.4
84305,41.943813,-112.06436,612,154.02499999999998,94263.29999999999
84309,41.713846,-112.099135,791,115.64666666666666,91476.51333333334
84317,41.307551,-111.620162,2814,32.35,91032.90000000001
84301,41.613619,-112.127191,863,103.79833333333333,89577.96166666667
84734,38.36269,-110.576846,211,423.3133333333334,89319.11333333334
84736,37.663277,-111.787795,292,302.38166666666666,88295.44666666667
84749,38.354346,-111.499498,251,341.09000000000003,85613.59000000001
84774,37.243249,-113.280893,2115,39.93,84451.95
84063,40.211814,-109.694218,264,316.9183333333333,83666.43999999999
84743,38.208247,-112.185731,329,254.135,83610.415
84072,40.364041,-110.632985,411,198.6,81624.59999999999
84338,41.913878,-111.935809,534,149.8683333333333,80029.68999999999
84086,41.417628,-111.201226,442,181.02666666666664,80013.78666666665
84740,38.284281,-112.264387,305,259.9316666666667,79279.15833333334
84744,38.626126,-111.918708,298,262.8266666666667,78322.34666666668
84033,40.979974,-111.49149,1002,77.23666666666665,77391.13999999998
84644,38.848875,-112.33208,275,277.8183333333333,76400.04166666667
84085,40.578587,-109.924987,233,324.06166666666667,75506.36833333333
84529,39.711527,-110.773264,175,429.4133333333333,75147.33333333333
84002,40.431158,-110.288359,306,243.92333333333332,74640.54
84633,39.939789,-111.891247,833,80.92333333333333,67409.13666666667
84112,40.765254,-111.841362,2738,24.523333333333333,67144.88666666667
84718,37.57951,-112.083026,226,284.18666666666667,64226.18666666667
84710,37.469176,-112.510553,308,206.22000000000003,63515.76000000001
84722,37.484812,-113.555594,773,79.56333333333333,61502.456666666665
84533,37.405415,-110.537252,103,596.2950000000001,61418.38500000001
84779,37.334886,-113.122148,734,80.39,59006.26
84330,41.906277,-112.170239,411,140.65666666666667,57809.89
84034,39.992371,-113.878933,144,399.1116666666667,57472.08
84626,39.936023,-111.984892,617,91.36333333333334,56371.17666666667
84031,40.650103,-110.656708,190,285.41666666666663,54229.16666666666
84080,40.033229,-112.451892,414,127.69833333333332,52867.10999999999
84667,39.500344,-111.664838,345,150.16166666666666,51805.775
84623,39.453838,-111.58845,336,152.41333333333333,51210.88
84316,41.778746,-112.448024,323,155.66333333333333,50279.25666666667
84767,37.201399,-112.985805,620,80.55333333333334,49943.06666666667
84022,40.350464,-112.640285,516,96.4,49742.4
84638,39.501927,-112.257709,325,143.19833333333332,46539.45833333333
84306,41.784766,-112.053817,362,124.96499999999999,45237.329999999994
84640,39.46475,-112.392214,260,169.76166666666666,44138.03333333333
84783,37.26383,-113.682839,1019,42.67166666666667,43482.42833333334
84013,40.295983,-112.094474,719,58.25833333333333,41887.74166666667
84735,37.64493,-112.449555,184,222.16500000000002,40878.36
84073,40.345859,-110.41634,189,213.92,40430.88
84308,41.966388,-111.967628,253,158.14333333333332,40010.26333333333
84331,41.94356,-112.35869,242,165.16166666666666,39969.12333333333
84023,40.903341,-109.217325,84,474.2116666666666,39833.77999999999
84069,40.365189,-112.485465,425,85.61333333333333,36385.666666666664
84746,37.238607,-113.350607,1251,28.178333333333335,35251.095
84018,41.221884,-111.448409,338,103.99666666666667,35150.87333333334
84712,38.136558,-111.975577,119,283.73333333333335,33764.26666666667
84006,40.596926,-112.1238,865,38.285000000000004,33116.525
84516,39.128434,-111.067081,94,336.375,31619.25
84756,37.742488,-113.54774,253,123.47666666666666,31239.596666666665
84602,40.254108,-111.650082,2115,14.421666666666665,30501.824999999997
84334,41.78959,-112.15188,234,127.24,29774.16
84742,37.517737,-113.158779,416,69.565,28939.04
84766,38.598516,-112.345688,110,260.93666666666667,28703.033333333333
84082,40.340345,-111.361662,815,33.835,27575.525
84781,37.396842,-113.475054,372,72.29666666666667,26894.36
84782,37.379912,-113.667644,562,47.218333333333334,26536.703333333335
84061,40.764039,-111.318822,315,80.16,25250.399999999998
84329,41.804208,-113.476254,99,231.89,22957.109999999997
84762,37.497245,-112.73698,111,200.57666666666665,22264.01
84728,39.333131,-113.912398,63,345.45,21763.35
84772,37.793286,-112.947567,208,102.85833333333332,21394.53333333333
84733,37.29713,-113.805681,252,63.57666666666667,16021.32
84304,41.821842,-111.979131,108,128.35833333333332,13862.699999999999
84763,37.146693,-113.069504,169,69.34166666666667,11718.741666666667
84732,38.445321,-111.904087,39,295.33833333333337,11518.195000000002
84313,41.367926,-113.682487,29,363.83,10551.07
84024,41.007673,-111.447161,134,67.56833333333333,9054.156666666666
84719,37.660881,-112.781467,49,154.75166666666667,7582.831666666667
84731,38.186485,-112.763384,36,181.05166666666665,6517.86
84621,39.05142,-111.835095,30,202.70833333333337,6081.250000000001
84113,40.762733,-111.832849,256,22.456666666666663,5748.906666666666
84408,41.192579,-111.939483,150,33.67333333333333,5051.0
84755,37.226514,-112.7853,28,140.48666666666668,3933.626666666667
84150,40.7715,-111.891064,7,23.006666666666668,161.04666666666668
84180,40.770444,-111.901105,0,22.368333333333332,0.0
84124,40.677751,-111.797558,22992,0.0,0.0
84403,41.214976,-111.889608,37244,0.0,0.0
84107,40.658017,-111.884519,37548,0.0,0.0
84114,40.777946,-111.888256,0,23.498333333333335,0.0
84117,40.66167,-111.835629,24873,0.0,0.0
84119,40.700258,-111.946425,50745,0.0,0.0
84540,39.216507,-109.520457,0,603.7483333333333,0.0
84138,40.766735,-111.887272,0,22.406666666666666,0.0
84753,37.965227,-113.858043,0,172.29333333333335,0.0
84604,40.318664,-111.576954,43749,0.0,0.0
84515,38.910823,-109.35248,0,550.015,0.0
84008,40.03344,-109.193763,0,390.0833333333333,0.0
84322,41.758224,-111.812556,0,128.04333333333332,0.0
84025,40.975812,-111.899335,25055,0.0,0.0
84010,40.873122,-111.835036,46666,0.0,0.0
84790,37.046092,-113.557306,54353,0.0,0.0
